codec,runs,comp_speed_mean,comp_speed_med,decomp_speed_mean,decomp_speed_med,ratio_mean,ratio_med
apultra,66,0.19735430303030305,0.1000915,121.18630872727273,116.0732075,38.484848484848484,42.0
blz,66,1.4282949242424243,1.073247,188.56549736363635,177.286812,41.96969696969697,46.0
doboz,166,2.0707544337349395,2.0633065,300.8859585361446,270.738565,43.873493975903614,48.0
exo,22,0.0141105,0.014349,116.71143004545455,113.2854395,41.09090909090909,43.0
lz4,168,2.13001575,2.1723540000000003,308.0458904702381,314.5007395,46.523809523809526,52.0
lzav,154,3.2876601363636366,1.9071925,248.16242035064937,252.999583,51.688311688311686,55.0
lzma,62,1.5352298709677419,1.462518,42.776159451612905,40.134178500000004,35.54838709677419,38.0
lzsa,164,0.38188952439024393,0.3204435,162.91481162195123,158.1923685,40.03658536585366,44.0
pp,61,2.839531704918033,1.860878,91.80381996721312,81.134535,46.377049180327866,50.0
qlz,166,3.503849620481928,2.579586,282.07304558433736,247.5749985,46.626506024096386,52.0
shrinkler,28,0.03715978571428571,0.0345555,31.161653964285712,29.686036,37.107142857142854,40.0
snappy,64,3.36410290625,1.8800055,145.889481140625,124.19210849999999,62.453125,66.0
stcr,44,0.8247842727272728,0.851704,161.91955545454545,152.3375895,47.31818181818182,49.0
zstd,168,1.6447471726190475,1.594206,284.5780561130952,287.6299245,43.54761904761905,44.0
zx0,9,0.0008635555555555556,0.000868,124.97248488888889,110.422473,34.77777777777778,36.0
zx7b,27,0.6127645185185185,0.575245,108.54278007407407,100.841929,43.925925925925924,47.0
